id	word	definition_cn	ecdict_translation	ecdict_phonetic
KAOYAN_CORE_4815	a.	n. 天主教徒	[医] 调节, 适应, 安培, 阳极, 正极, 前, 水, 水剂, 动脉	
KAOYAN_CORE_617	abdomen	n. 腹，下腹(胸部到腿部的部分)	n. 腹部 / [医] 腹[部]	'æbdәmen
KAOYAN_CORE_1455	achieve	v. 取得；获得；实现；成功	vt. 完成, 达到 / vi. 如愿以偿	ә'tʃi:v
KAOYAN_CORE_5004	affiliate	v. 隶属于； n. 附属机构， 分公司	vt. 使紧密联系, 使附属, 接纳, 收养 / vi. 发生联系, 参加	ә'filieit
KAOYAN_CORE_15	agenda	n. 议事日程，记事册	pl. 议程, 日常工作事项 / [计] 待议事件	ә'dʒendә
KAOYAN_CORE_17	agony	n. (精神或肉体的)极大痛苦，创伤	n. 极大的痛苦, 挣扎 / [医] 濒死苦闷; 剧痛	'ægәni
KAOYAN_CORE_3253	album	n. 相簿；唱片集；集邮簿；签名纪念册	n. 粘贴簿, 唱片套 / [医] 白色物	'ælbәm
KAOYAN_CORE_4790	allegiance	n. 拥护； 忠诚	n. 忠贞, 效忠	ә'li:dʒәns
KAOYAN_CORE_1863	ambiguous	adj. 模糊不清的；引起歧义的	a. 不明确的, 模棱两可的 / [法] 意思含糊的, 模棱两可的, 暧昧的	æm'bigjuәs
KAOYAN_CORE_4653	ambitious	adj. 野心勃勃的；有雄心的；热望的；炫耀的	a. 有野心的, 抱负不凡的, 雄心勃勃的	æm'biʃәs
KAOYAN_CORE_691	amid	prep. 在…中间，在…之中，被…围绕	prep. 在其间, 在其中 / [经] 在...中	ә'mid
KAOYAN_CORE_4977	ape	n. 猿 <； v. 模仿	n. 无尾猿 / [计] 应用程序评价	eip
KAOYAN_CORE_22	articulate	adj. 善于表达的；有关节相连的； v. 清楚地讲话	a. 发音清晰的, 口才好的 / vt. 明白地说, 以关节连接, 使成为系统的整体	ɑ:'tikjulit
KAOYAN_CORE_5033	available	adj. 可用的， 可得到的；可以见到的， 随时可来的	a. 可利用的, 可获得的, 有效的 / [医] 有效的, 可得的	ә'veilәbl
KAOYAN_CORE_4819	ax	n. 斧	n. 斧头 / vt. 用斧削或砍, 削减	æks
KAOYAN_CORE_32	banner	n. 旗(帜)	n. 旗帜 / a. 显著的, 特别好的	'bænә
KAOYAN_CORE_40	barely	adv. 赤裸裸地,无遮蔽地;仅仅,勉强,几乎没有	adv. 几乎不	'bєәli
KAOYAN_CORE_55	basket	n. 筐，篮，篓	n. 篮, 篮子 / vt. 装入篮	'bɑ:skit
KAOYAN_CORE_4901	bean	n. 豆， 菜豆， 蚕豆	n. 豆子 / [化] 油嘴; 豆	bi:n
KAOYAN_CORE_4764	beast	n. 兽， 牲畜 A；凶残的人； 举止粗鲁的人	n. 畜生, 动物, 野兽, 兽性	bi:st
KAOYAN_CORE_3513	bell	n. 铃，钟；钟声，铃声；钟状物； v. 装钟于，系铃于	n. 铃, 钟 / [计] 响铃命令	bel
KAOYAN_CORE_3731	bench	n. 长凳；工作台；替补队员； v. 给…以席位；为…设置条凳	n. 长椅子 / [机] 台	bentʃ
KAOYAN_CORE_2164	bible	n. 有权威的书	n. 圣经	'baibl
KAOYAN_CORE_3343	bone	n. 骨；骨骼； v. 剔去的骨；施骨肥于	n. 骨头, 骨, 骨制品 / vt. 剔骨 / vi. 专心致志	bәun
KAOYAN_CORE_4590	briefcase	n. 公文包	n. 公事包	'bri:fkeis
KAOYAN_CORE_3772	bunch	n. 群；串；突出物； v. 隆起；打褶；形成一串	n. 串, 束 / [医] 骨肿块(马)	bʌntʃ
KAOYAN_CORE_3941	bundle	n. 束；捆； v. 捆	n. 捆, 束 / vt. 包扎, 胡乱塞进 / vi. 匆忙离开	'bʌndl
KAOYAN_CORE_4380	bureau	n. 局，处；衣柜；办公桌	n. 局, 办公处 / [经] 局, 司, 处	'bjuәrәu
KAOYAN_CORE_96	carrier	n. 搬运人;载体	n. 运送者, 邮递员, 带菌者 / [计] 载波	'kæriә
KAOYAN_CORE_101	carve	v. (雕)刻	v. 雕刻, 切开	kɑ:v
KAOYAN_CORE_106	cat	n. 猫；猫科；	n. 猫, 恶妇 / vi. 呕吐 / 计算机辅助教育, 计算机辅助测试, 计算机辅助翻译, 计算机辅助排版 / [计] 计算机辅助教学, 计算机辅助翻译, 计算机辅助排字, 计算机辅助测试	kæt
KAOYAN_CORE_4848	censorship	n. 审查制度 <	n. 检查制度 / [医] 督察, 监察	'sensәʃip
KAOYAN_CORE_159	certainly	adv. 一定,必定,无疑;当然,行	adv. 确定地	'sә:tәnli
KAOYAN_CORE_161	certificate	n. 证(明)书,执照	n. 证书, 证明书 / vt. 发给证明书, 用证书批准, 用证书证明	sә'tifikeit
KAOYAN_CORE_3394	chapter	n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期； v. 把…分成章节	n. 章, 篇, 重要章节 / [计] 章; 段	'tʃæptә
KAOYAN_CORE_3110	cheek	n. 面颊，脸颊；臀部； v. 无礼地向…讲话，对…大胆无礼	n. 颊, 厚颜, 脸蛋 / [医] 颊	tʃi:k
KAOYAN_CORE_2357	childhood	n. 童年时期；幼年时代	n. 孩童时期 / [医] 儿童期	'tʃaildhud
KAOYAN_CORE_210	closet	n. (壁)橱a.私下的vt.把…引进密室会谈	n. 壁橱, 小室 / a. 秘密的, 空谈的 / vt. 把...关入小室	'klɒzit
KAOYAN_CORE_211	cloth	n. (一块)布,织物,衣料	n. 布料, 织品, 布 / [建] 布	klɒ:θ. klɒθ
KAOYAN_CORE_214	clothing	n. 服装,被褥	n. 衣服	'klәuðiŋ
KAOYAN_CORE_483	coherent	adj. 一致的，协调的；(话语等)条理清楚的	a. 互相耦合的, 清晰的, 明了的，凝聚性的, 连贯的	kәu'hiәrәnt
KAOYAN_CORE_484	cohesive	adj. 粘合性的，有结合力的	a. 黏合在一起的 / [医] 内聚的	kәu'hi:siv
KAOYAN_CORE_786	companion	n. 同伴,共事者;伴侣	n. 朋友, 陪伴, 指南, 升降口围罩 / vt. 陪伴	kәm'pænjәn
KAOYAN_CORE_1968	complain	v. 投诉；发牢骚；诉说	v. 抱怨, 抗议, 控诉	kәm'plein
KAOYAN_CORE_4968	confident	adj. 确信的， 自信的	a. 有信心的, 有把握的	'kɒnfidәnt
KAOYAN_CORE_224	counterpart	n. 对应的人(或物)	n. 副本, 复本, 配对物, 相应物 / [经] 副本, 正副二份中之一	'kauntәpɑ:t
KAOYAN_CORE_225	county	n. (英国)郡,(美国)县	n. 县, 郡	'kaunti
KAOYAN_CORE_4905	credentials	n. 证明书； 证件；资格	n. 信任状, 国书, 文件, 身份证明, 证书 / [法] 信用证, 国书, 证书	
KAOYAN_CORE_250	cry	n. &v.叫，喊，哭；(鸟兽)叫，啼，鸣，嗥	n. 叫声, 哭声, 大叫 / vi. 哭, 叫, 喊 / vt. 叫喊, 大声说, 哭出	krai
KAOYAN_CORE_269	curl	v. (使)卷曲,蜷缩； n. 卷发;卷曲状;卷曲物	n. 拳曲, 鬈发 / vt. 弄卷 / vi. 拳曲, 弯曲	kә:l
KAOYAN_CORE_291	dedicate	v. 奉献;献身于	vt. 献出, 贡献	'dedikeit
KAOYAN_CORE_723	demonstrate	v. 论证,证实;演示,说明	vt. 示范, 证明 / vi. 示威	'demәnstreit
KAOYAN_CORE_2010	desirable	adj. 令人满意的；值得要的； n. 合意的人或事物	a. 令人想望的, 可取的	di'zairәbl
KAOYAN_CORE_4685	dig	v. 挖，掘；探究； n. 戳，刺；挖苦	vt. 挖, 翻土, 发掘 / vi. 挖掘 / n. 挖掘 / [计] 数字, 数位	dig
KAOYAN_CORE_949	directory	n. 人名地址录,(电话)号码簿	n. 目录, 工商名录, 指南 / [计] 目录	di'rektәri
KAOYAN_CORE_3384	discern	v. 识别；领悟，认识	v. 辨别, 看清楚, 了解	di'zә:n
KAOYAN_CORE_215	disclose	v. 揭示,泄露	vt. 揭露, 透露 / [法] 揭发, 揭露, 公开	dis'klәuz
KAOYAN_CORE_2993	dish	n. 盘；餐具；一盘食物；外貌有吸引力的人； v. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话	n. 盘子, 碟, 菜肴 / [医] 皿, 碟	diʃ
KAOYAN_CORE_889	disposition	n. 排列,部署;性格倾向;倾向,意向	n. 性情, 处置, 处理, 布置 / [医] 素因, 性情	.dispә'ziʃәn
KAOYAN_CORE_2818	dispute	v. 辩论；怀疑；阻止；抗拒； n. 辩论；争吵	n. 争论 / v. 争论	dis'pju:t
KAOYAN_CORE_318	dome	n. 圆屋顶	n. 圆顶 / vt. 加圆顶 / vi. 成圆顶状	dәum
KAOYAN_CORE_1709	dramatic	adj. 戏剧的；急剧的；引人注目的；激动人心的	a. 戏剧性的, 生动的	drә'mætik
KAOYAN_CORE_4902	eclipse	n. 食	n. 日食, 月食, (地位名誉等的)消失 / vt. 引起日食, 引起月食, 使黯然失色	i'klips
KAOYAN_CORE_349	efficient	adj. 有效的,效率高的;有能力的,能胜任的	a. 有效率的, 能干的	i'fiʃәnt
KAOYAN_CORE_560	eligible	adj. 符合条件的;(尤指婚姻等)合适(意)的	a. 有资格当选的, 合格的 / n. 有资格者, 合格者, 适任者	'elidʒәbl
KAOYAN_CORE_2616	ending	n. 结局；结尾	n. 终止, 终了, 收场 / [医] 末梢	'endiŋ
KAOYAN_CORE_75	escalate	v. (使)逐步增长(或发展)，(使)逐步升级	vi. 逐步扩大, 逐步升高, 逐步增强 / vt. 使逐步上升	'eskәleit
KAOYAN_CORE_834	expense	n. 花费,消费,消耗	n. 费用, 代价, 开支, 损失 / [经] 费用, 开支, 将支出转为费用	ik'spens
KAOYAN_CORE_4983	fabulous	adj. 寓言式的；极为巨大的；极好的	a. 传说的, 寓言般的, 难以置信的	'fæbjulәs
KAOYAN_CORE_5019	faithfully	adv. 忠诚地， 如实地	adv. 忠实地, 诚心诚意地, 深信着地	'feiθfuli
KAOYAN_CORE_4705	fantastical	adj. 奇异的， 幻想的， 异想天开的；极好的	a. 空想的；捕风捉影的	fæn'tæstikәl
KAOYAN_CORE_2284	fashion	n. 时尚；时装；样式；时髦人物； v. 使用；改变；做成…的形状	n. 流行, 风尚, 时样 / vt. 形成, 造, 作	'fæʃәn
KAOYAN_CORE_4925	favourite	adj. 特别喜欢的， 中意的； n. 最喜欢的人或物	n. 喜欢的事物 / a. 喜爱的, 宠爱的	'feivәrit
KAOYAN_CORE_5029	freelance	adj. 自由职业的	n. 自由作家, 自由投稿, 自由职业者 / a. 自由投稿的	
KAOYAN_CORE_4324	fruitful	adj. 富有成效的；多产的；果实结得多的	a. 结果实的, 多实的, 产量多的	'fru:tful
KAOYAN_CORE_4806	gage	n. 标准尺寸， 规格； 量规， 量表	n. 抵押品, 挑战 / vt. 以...为担保, 以...为赌注 / n. 抵押品, 标准度量, 计量器 / vt. 精确计量, 估计	geidʒ
KAOYAN_CORE_3595	ghost	n. 鬼，幽灵； v. 作祟于；替…捉刀；为人代笔	n. 鬼, 灵魂, 幻影, 一丝, 一点 / v. 鬼似地游荡	gәust
KAOYAN_CORE_4802	grab	v. 抓； 夺  <； n. 抓； 夺	n. 抓握, 掠夺, 强占, 东方沿岸帆船 / vi. 抓取, 抢去 / vt. 攫取, 捕获, 霸占	græb
KAOYAN_CORE_4801	gram	n. 克	n. 克, 绿豆, 鹰嘴豆 / [医] 克	græm
KAOYAN_CORE_4225	grass	n. 草；草地，草坪； v. 放牧；使……长满草；使……吃草	n. 草, 草原, 牧场 / [医] 草, 禾本	græs
KAOYAN_CORE_4864	headline	n. 大字标题； 头条新闻	n. 大标题, 新闻摘要 / vt. 为...做标题, 写标题	'hedlain
KAOYAN_CORE_439	homogeneous	adj. 同种类的，同性质的，有相同特征的	a. 同种的, 同质的, 齐性的 / [医] 同种的, 纯一的, 同质的, 均匀的	.hәumә'dʒi:niәs
KAOYAN_CORE_4504	imagination	n. [心理] 想象力；空想；幻想物	n. 想像, 听觉, 想像力 / [医] 想像	i.mædʒi'neiʃәn
KAOYAN_CORE_4652	imaginative	adj. 富于想象的；有创造力的	a. 想像的, 虚构的	i'mædʒinәtiv
KAOYAN_CORE_2062	impressive	adj. 感人的；令人钦佩的；给人以深刻印象的	a. 给人深刻印象的, 威严的	im'presiv
KAOYAN_CORE_245	increasingly	adv. 不断增加地,日益	adv. 逐渐地, 渐增地	in'kri:siŋli
KAOYAN_CORE_836	indispensable	adj. (to,for)必不可少的,必需的	n. 不可缺少之物 / a. 不可缺少的, 责无旁贷的, 绝对必要的	.indis'pensәbl
KAOYAN_CORE_440	ingenious	adj. 机敏的;有独创性的;精致的;精巧制成的	a. 灵敏的, 精巧的, 聪明的	in'dʒi:njәs
KAOYAN_CORE_2723	ingredient	n. 原料；要素；组成部分； adj. 构成组成部分的	n. 成分, 因素 / [化] 配合剂; 拼料; 成分; 组分	in'gri:diәnt
KAOYAN_CORE_1135	intact	adj. 完整无缺的,未经触动的,未受损伤的	a. 尚未被人碰过的, 原封不动的, 完整的 / [医] 完整的, 无伤的	in'tækt
KAOYAN_CORE_2757	interpret	v. 说明；口译	vt. 解释, 演出, 翻译, 理解 / vi. 翻译, 解释	in'tә:prit
KAOYAN_CORE_4068	invariably	adv. 总是；不变地；一定地	adv. 不变化地, 恒定地, 始终如一地	in'vєәriәbli
KAOYAN_CORE_1480	journalist	n. 新闻工作者；报人；记日志者	n. 新闻记者, 从事新闻杂志业的人	'dʒә:nәlist
KAOYAN_CORE_4157	juice	n. （水果）汁，液；果汁	n. 汁, 活力, 体液 / vt. 挤出汁来, 加汁	dʒu:s
KAOYAN_CORE_4116	kettle	n. 壶；[化工] 釜；罐；鼓	n. 茶壶, 罐 / [化] 釜体釜; 锅	'ketl
KAOYAN_CORE_4630	lane	n. 小巷；[航][水运] 航线；车道；罚球区	n. 小路, 巷, 弄, 单行道	lein
KAOYAN_CORE_4175	lapse	n. (一时的) 走神，判断错误	n. 过失, 流逝, 失效 / vi. 犯错, 堕落, 减退, 消失, 流逝 / vt. 使失效	læps
KAOYAN_CORE_2403	laptop	n. 膝上型轻便电脑，笔记本电脑	[计] 膝上型的	
KAOYAN_CORE_1915	laugh	n. 笑；引人发笑的事或人； v. 笑	n. 笑, 笑声 / vi. 笑, 大笑 / vt. 以笑表示	lɑ:f
KAOYAN_CORE_4460	leg	n. 腿；支柱	n. 腿, 假腿, 路程 / vi. 走, 跑	leg
KAOYAN_CORE_4727	liter	n. 升	n. 公升 / [化] 升	'li:tә
KAOYAN_CORE_4226	locker	n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜	n. 抽屉, 小柜, 上锁人 / [机] 锁柜	'lɒkә
KAOYAN_CORE_2478	lonely	adj. 寂寞的；偏僻的； n. 孤独者	a. 孤单的, 孤寂的, 荒凉的	'lәunli
KAOYAN_CORE_5020	lung	n. 肺	n. 肺, 肺脏, 空地 / [医] 肺	lʌŋ
KAOYAN_CORE_611	maneuver	n. (manoeuvre)机动;运用,操作;； v. 机动	n. 演习, 调遣, 策略 / v. 调遣, 演习, 用计	mә'nu:vә
KAOYAN_CORE_638	marvelous	adj. (marvellous)惊人的,奇迹般的,妙极的	a. 令人惊异的, 了不起的, 不平常的	'mɑ:vәlәs
KAOYAN_CORE_4347	melody	n. 旋律；歌曲；美妙的音乐	n. 曲子, 美妙音乐, 曲调	'melәdi
KAOYAN_CORE_685	metropolitan	adj. 首都的,主要都市的,大城市	n. 大都市居民, 都主教, 宗主国的公民 / a. 大都市的, 都主教区的, 宗主国的	.metrә'pɒlitn
KAOYAN_CORE_4342	ministry	n. （政府的）部门	n. 部, 内阁, 服务 / [经] 部	'ministri
KAOYAN_CORE_745	mobile	adj. 可动的,活动的,运动的	a. 移动的, 易变的, 机动的 / n. 活动物体	'mәubil
KAOYAN_CORE_713	modest	adj. 谦虚的,有节制的	a. 谦逊的, 羞怯的, 端庄的, 适度的 / [经] 适当的	'mɒdist
KAOYAN_CORE_147	municipal	adj. 市(立,政)的;地方性的,地方自治的	a. 市政的, 自治区的, 内政的 / [经] 市政的, 市的	mju:'nisipl
KAOYAN_CORE_557	negligible	adj. 可忽略不计的，微不足道的	a. 可以忽略的, 不足取的, 无用的 / [医] 可不计的, 可忽视的	'neglidʒәbl
KAOYAN_CORE_4756	nonsense	n. 胡说， 废话	n. 无意义的事, 荒谬言行, 荒唐	'nɒnsәns
KAOYAN_CORE_4702	nowhere	adv. 任何地方都不， 没有地方 <	adv. 无处, 到处都无	'nәuhwєә
KAOYAN_CORE_1063	obsolete	adj. 已废弃的,过时的	a. 荒废的, 成废物的, 陈旧的, 老式的 / n. 废词, 废物	'ɒbsәli:t
KAOYAN_CORE_1827	originate	v. 引起；创作	vt. 创始, 发明, 发起 / vi. 发源, 发生, 起航 / [计] 发自	ә'ridʒineit
KAOYAN_CORE_3080	outset	n. 开始；开端	n. 着手, 开头, 最初	'autset
KAOYAN_CORE_4814	overhaul	n. 彻底检修；改革A； v. 彻底检修；赶上， 超过	vt. 分解检查, 翻修, 精细检查, 彻底革新 / n. 分解检查, 精细检查, 大检修	.әuvә'hɒ:l
KAOYAN_CORE_784	pan	n. 平底锅,盘子,面板	n. 平锅, 浅盘, 盆地, 硬土层, 拍摄全景 / v. 上下左右移动, 摇镜头, 淘洗, 淘金	pæn
KAOYAN_CORE_790	panel	n. 面,板;控制板,仪表盘;专门小组	n. 嵌板, 仪表板, 专题讨论小组, 全体陪审员 / vt. 嵌镶板	'pænl
KAOYAN_CORE_805	particular	adj. 特殊的,苛求的,个别的n.详情,细节,特色	n. 一项(或条、点), 个别项目, 详细说明 / a. 特别的, 独有的, 挑剔的, 详尽的	pә'tikjulә
KAOYAN_CORE_4871	per	prep. 每；经， 由	prep. 每一, 通过, 经, 按照 / [经] 每, 按照	pә:
KAOYAN_CORE_2737	phase	n. 月相	n. 时期, 局面, 方面, 位相, 相, 阶段 / vt. 使调整相位, 使定相, 使一致, 逐步执行, 实行 / [计] 阶段	feiz
KAOYAN_CORE_2725	plough	v. 犁；耕； n. 犁；耕地（等于plow）	n. 犁, 犁过的地 / vi. 用犁耕田, 开路 / vt. 耕, 犁, 开路	plau
KAOYAN_CORE_4146	poem	n. 诗	n. 诗, 诗般美的事物	'pәuim
