id	word	definition_cn	ecdict_translation	ecdict_phonetic
TOEFL_9689	abhor	v. 憎恨， 厌恶	vt. 憎恶, 痛恨, 回避, 拒绝	әb'hɒ:
TOEFL_2496	abroad	adv. 到国外,在国外	adv. 往国外, 到室外, 到处 / a. 往国外的, 在室外的, 广泛四散的	ә'brɒ:d
TOEFL_9983	accredit	v. 委任， 授权； 把…归于； 正式认可	vt. 信托, 确认, 归结于, 委派 / [经] 发行信用证, 信托, 委托	ә'kredit
TOEFL_5070	accrete	v. 共生, 附着, 增加	vi. 连生, 合生, 附依 / vt. 使依附, 使连接 / a. 合生的	æ'kri:t
TOEFL_8529	acquaint	v. 使熟知, 通知	vt. 使认识, 介绍	ә'kweint
TOEFL_8472	acronym	n. 只取首字母的缩写词	n. 首字母缩拼词, 首字母组合词 / [计] 字首组合词	'ækrәunim
TOEFL_7771	adequately	adv. 充分地	adv. 足够地, 适当地	'ædikwәtli
TOEFL_10028	adhesive	adj. 带黏性的； n. 胶合剂	a. 粘着的, 涂有粘性物质的 / n. 粘合剂, 橡皮膏	әd'hi:siv
TOEFL_6590	admirable	adj. 令人钦佩的,令人赞赏的	a. 可钦佩的, 极好的, 令人惊奇的	'ædmәrәbl
TOEFL_4916	adrift	a&ad. 漂流的,漫无目的	adv. 漂流地, 漂浮着, 随波逐流地 / a. 漂浮着的	ә'drift
TOEFL_312	adult	n. 成年人	n. 成人, 成虫 / a. 成年的, 成熟的	'ædʌlt
TOEFL_2682	advent	n. 出现，到来	n. 来到, 来临	'ædvәnt
TOEFL_614	advertise	v. 登广告,宣传	vt. 做广告, 通知, 公布 / vi. 做广告	'ædvәtaiz
TOEFL_4808	aesthetically	adv. 有审美能力地	adv. 美学观点上地；审美地	i:s'θetikәli
TOEFL_6949	affectional	adj. 情感上的,  爱情的	a. 感情方面的	ә'fekʃәnәl
TOEFL_9025	affiliate	v. 使隶属于； n. 附属机构	vt. 使紧密联系, 使附属, 接纳, 收养 / vi. 发生联系, 参加	ә'filieit
TOEFL_6506	affordable	adj. 负担得起的	[计] 普及型	
TOEFL_3866	afield	adv. 远离着(家乡), 去远处	adv. 离开着, 偏离着, 在战场上	ә'fi:ld
TOEFL_6946	afloat	a&ad. 飘浮的, 传播的	a. 飘浮着的, 在海上的, 浸满水的, 在进行中的 / adv. 飘浮着, 在海上, 浸满水, 在进行中	ә'flәut
TOEFL_582	again	adv. 再,又	adv. 再一次, 又, 到原处	ә'gein
TOEFL_5454	agriculturally	adv. 农业上	adv. 农业地	
TOEFL_8800	aie	n. 急性包涵(体)脑炎	abbr. 国际教育联盟（Alliance for International Education）；自适应图像增强器（Adaptive Image Enhancer）	
TOEFL_9505	ailment	n. 小病	n. 病痛, 疾病 / [医] 疾病	'eilmәnt
TOEFL_5004	aircraft	n. 航行器	n. 航空器, 飞机 / [机] 航空器	'єәkræft
TOEFL_1349	algae	n. 水藻	pl. 藻类, 海藻 / [化] 藻类	'ælgi:
TOEFL_6571	allay	v. 减轻, 减少	vt. 使平静, 使缓和	ә'lei
TOEFL_9587	allergy	n. 过敏性反应	n. 变应性, 反感, 厌恶 / [化] 变态反应; 变应性	'ælәdʒi
TOEFL_4795	alligator	n. 产于美洲的鳄鱼	n. 短吻鳄 / [机] 两栖装甲车	'æligeitә
TOEFL_7787	aloof	adj. 冷漠的	a. 远离的, 冷淡的 / adv. 远离, 冷漠超然地	ә'lu:f
TOEFL_5781	alpha	n. 希腊字母的第一个字母	n. 希腊字母表的第一个字母, 最初, 开端 / [医] α(希腊文的第一个字母), 甲种	'ælfә
TOEFL_7163	alphabetically	adv. 按字母表顺序地	adv. 按字母顺序地	.ælfә'betikәli
TOEFL_1678	alternative	adj. 选择性的,二中择一的	n. 两者择一, 供替代的选择 / a. 两者择一的, 供选择的 / [计] 选择对象	ɒ:l'tә:nәtiv
TOEFL_5735	alternatively	adv. 做为选择,二者择一地	adv. 非此即彼	ɒ:l'tә:nәtivli
TOEFL_8832	ambidextrous	adj. 十分灵巧的	a. 两手俱利的, 搞两面派的 / [医] 两手同利的	.æmbi'dekstrәs
